pid,name,normalized_burst_time,arrival_time,waiting_time,turnaround_time
2456, (gsd-keyboard),86,49726,13244,13330
2458, (gsd-media-keys),86,49726,13330,13416
2464, (gsd-power),86,49726,13416,13502
2470, (gsd-print-notif),86,49726,13502,13588
2474, (gsd-rfkill),86,49726,13588,13674
2478, (gsd-screensaver),86,49726,13674,13760
2479, (gsd-sharing),86,49726,13760,13846
2482, (gsd-smartcard),86,49726,13846,13932
2483, (gsd-sound),86,49726,13932,14018
2487, (gsd-usb-protect),86,49726,14018,14104
2500, (gsd-wacom),86,49726,14104,14190
2542, (gsd-printer),86,49726,14190,14276
2553, (gjs),86,49726,14276,14362
2569, (garuda-system-m),86,49726,14362,14448
2576, (ulauncher),86,49726,14448,14534
2592, (gsd-disk-utilit),86,49726,14534,14620
2607, (evolution-alarm),86,49726,14620,14706
2612, (electron),86,49726,14706,14792
2620, (udisksd),86,49726,14792,14878
2637, (goa-daemon),86,49726,14878,14964
2641, (gvfs-udisks2-vo),86,49726,14964,15050
2650, (evolution-calen),86,49726,15050,15136
2670, (goa-identity-se),86,49726,15136,15222
2677, (xdg-desktop-por),86,49726,15222,15308
2688, (xdg-document-po),86,49726,15308,15394
2694, (fusermount3),86,49726,15394,15480
2700, (gvfs-mtp-volume),86,49726,15480,15566
2706, (gvfs-gphoto2-vo),86,49726,15566,15652
2721, (evolution-addre),86,49726,15652,15738
2727, (gvfs-goa-volume),86,49726,15738,15824
2735, (gvfs-afc-volume),86,49726,15824,15910
2750, (electron),86,49726,15910,15996
2753, (electron),86,49726,15996,16082
2760, (Xwayland),86,49726,16082,16168
2774, (electron),86,49726,16168,16254
2799, (pipewire),78,49726,16254,16332
2801, (wireplumber),78,49726,16332,16410
2802, (pipewire-pulse),78,49726,16410,16488
2925, (com.docker.back),86,49726,16488,16574
2929, (python3),86,49726,16574,16660
2930, (xdg-desktop-por),86,49726,16660,16746
2971, (com.docker.buil),86,49726,16746,16832
2980, (com.docker.dev-),86,49726,16832,16918
2981, (com.docker.exte),86,49726,16918,17004
3003, (Docker,86,49726,17004,17090
3046, (xdg-desktop-por),86,49726,17090,17176
3047, (input-remapper-),86,49726,17176,17262
3062, (Docker,86,49726,17262,17348
3064, (Docker,86,49726,17348,17434
3098, (Docker,86,49726,17434,17520
3126, (gsd-xsettings),86,49726,17520,17606
3178, (mutter-x11-fram),86,49726,17606,17692
3202, (electron),86,49726,17692,17778
3204, (electron),86,49726,17778,17864
3207, (libinput-debug-),86,49726,17864,17950
3211, (electron),86,49726,17950,18036
3248, (Docker,86,49726,18036,18122
3250, (Docker,86,49726,18122,18208
3722, (opera),85,49726,18208,18293
3726, (opera_crashrepo),86,49726,18293,18379
3731, (opera),86,49726,18379,18465
3732, (opera),86,49726,18465,18551
3734, (opera),86,49726,18551,18637
3761, (opera),85,49726,18637,18722
3762, (opera),86,49726,18722,18808
3780, (opera),86,49726,18808,18894
3844, (opera),89,49726,18894,18983
3845, (opera),85,49726,18983,19068
3862, (opera),89,49726,19068,19157
3966, (opera),85,49726,19157,19242
3992, (opera),86,49726,19242,19328
4008, (opera),85,49726,19328,19413
4041, (opera),85,49726,19413,19498
4057, (opera),85,49726,19498,19583
4066, (opera),85,49726,19583,19668
4078, (opera),85,49726,19668,19753
4087, (opera),89,49726,19753,19842
4467, (opera),86,49726,19842,19928
4473, (opera),89,49726,19928,20017
4485, (opera),86,49726,20017,20103
4940, (gvfsd-metadata),86,49726,20103,20189
5439, (gvfsd-trash),86,49726,20189,20275
5459, (dconf-service),86,49726,20275,20361
5679, (opera),89,49726,20361,20450
6830, (kworker/11:9-i915-unordered),86,49726,20450,20536
7701, (gvfsd-network),86,49726,20536,20622
7732, (gvfsd-dnssd),86,49726,20622,20708
13562, (opera),89,49726,20708,20797
15030, (opera),89,49726,20797,20886
16813, (kworker/9:1-mm_percpu_wq),86,49726,20886,20972
17167, (kworker/2:1-i915-unordered),86,49726,20972,21058
17850, (code),86,49726,21058,21144
17853, (code),86,49726,21144,21230
17854, (code),86,49726,21230,21316
17856, (code),86,49726,21316,21402
17870, (chrome_crashpad),86,49726,21402,21488
17887, (code),86,49726,21488,21574
17892, (code),86,49726,21574,21660
17956, (code),86,49726,21660,21746
17976, (code),86,49726,21746,21832
18306, (opera),86,49726,21832,21918
18604, (opera),89,49726,21918,22007
19507, (kworker/11:0-i915-unordered),86,49726,22007,22093
20086, (gvfsd-http),86,49726,22093,22179
22804, (kworker/3:1-mm_percpu_wq),86,49726,22179,22265
30290, (kworker/0:2H-events_highpri),71,49726,22265,22336
37932, (kworker/4:0-mm_percpu_wq),86,49726,22336,22422
41273, (kworker/5:1-mm_percpu_wq),86,49726,22422,22508
51631, (code),86,49726,22508,22594
51649, (code),86,49726,22594,22680
51738, (code),86,49726,22680,22766
51772, (code),86,49726,22766,22852
51858, (code),86,49726,22852,22938
51909, (fish),86,49726,22938,23024
52052, (code),86,49726,23024,23110
52131, (code),86,49726,23110,23196
55912, (cpptools),86,49726,23196,23282
58085, (cpptools-srv),86,49726,23282,23368
65938, (cpptools-srv),86,49726,23368,23454
66290, (opera),89,49726,23454,23543
67698, (nemo),86,49726,23543,23629
67777, (gvfsd-recent),86,49726,23629,23715
67898, (opera),89,49726,23715,23804
69598, (code),89,49726,23804,23893
69617, (code),86,49726,23893,23979
69627, (code),86,49726,23979,24065
69650, (fish),86,49726,24065,24151
69671, (cpptools),86,49726,24151,24237
69806, (code),86,49726,24237,24323
69886, (cpptools-srv),86,49726,24323,24409
69996, (code),86,49726,24409,24495
70832, (kworker/7:2-events),86,49726,24495,24581
71306, (kworker/8:2-mm_percpu_wq),86,49726,24581,24667
71666, (kworker/6:2-mm_percpu_wq),86,49726,24667,24753
75318, (kworker/10:1-events),86,49726,24753,24839
75810, (kworker/u24:30-btrfs-endio-write),86,49726,24839,24925
76282, (gjs),86,49726,24925,25011
76942, (opera),89,49726,25011,25100
77101, (kworker/u24:4-btrfs-endio-write),86,49726,25100,25186
78064, (opera),89,49726,25186,25275
78073, (opera),89,49726,25275,25364
79730, (kworker/u24:1-events_unbound),86,49726,25364,25450
79759, (kworker/u24:8-btrfs-endio-write),86,49726,25450,25536
80100, (fish),86,49726,25536,25622
80558, (kworker/u25:2-rtw89_tx_wq),71,49726,25622,25693
80559, (opera),89,49726,25693,25782
81069, (kworker/u24:11-btrfs-endio-write),86,49726,25782,25868
81833, (kworker/3:0),86,49726,25868,25954
81834, (kworker/9:0-inet_frag_wq),86,49726,25954,26040
81847, (kworker/6:0),86,49726,26040,26126
83492, (kworker/7:0-events),86,49726,26126,26212
83875, (kworker/u25:1-rtw89_tx_wq),71,49726,26212,26283
84087, (code),86,49726,26283,26369
84094, (code),86,49726,26369,26455
85384, (docker),86,49726,26455,26541
86021, (kworker/4:2-inet_frag_wq),86,49726,26541,26627
86079, (kworker/8:0-events),86,49726,26627,26713
86169, (kworker/1:35-events),86,49726,26713,26799
